timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,quatW,quatX,quatY,quatZ,altitude,temperature,analogValue,state
238083,-0.394836,-0.274109,-0.944702,-0.519294,-10.978585,-1.372310,-0.153291,-0.191421,-0.955064,0.166445,632.48,31.60,768.00,1
238183,-0.401184,-0.245789,-0.870972,-0.656623,-11.756783,-1.860591,-0.181358,-0.190354,-0.949935,0.168786,632.49,31.60,766.00,1
238283,-0.423157,-0.255066,-0.810425,0.243646,-12.718087,-0.716182,-0.205614,-0.187408,-0.943192,0.181610,632.49,31.60,766.00,1
238383,-0.519348,-0.291199,-0.787476,-2.228278,-11.375314,0.077275,-0.228920,-0.184763,-0.936436,0.191148,632.49,31.60,766.00,1
238483,-0.540833,-0.248230,-0.734253,-1.907843,-11.100656,-0.273677,-0.254826,-0.183991,-0.929292,0.193958,632.49,31.60,768.00,1
238583,-0.706360,-0.321960,-0.716675,0.731927,-13.374215,-2.104732,-0.278367,-0.179661,-0.920999,0.204903,632.52,31.60,766.00,1
238683,-0.684875,-0.338074,-0.594604,4.409295,-19.431955,-2.058955,-0.304155,-0.174081,-0.910034,0.221395,632.51,31.60,768.00,1
238783,-0.720032,-0.346375,-0.473022,2.822381,-16.868479,-0.761958,-0.327931,-0.169649,-0.899195,0.234776,632.52,31.60,766.00,1
238883,-0.748352,-0.254578,-0.345093,7.888299,-19.355661,-3.050776,-0.353814,-0.166042,-0.886161,0.248910,632.53,31.60,768.00,1
238983,-0.836243,-0.440613,-0.217163,0.884515,-13.282662,-4.378291,-0.371906,-0.158129,-0.876683,0.260960,632.53,31.60,768.00,1
239083,-0.910461,-0.536316,-0.164429,-0.931281,-8.827096,-0.441524,-0.386654,-0.153137,-0.868367,0.270145,632.55,31.60,768.00,1
239183,-0.829895,-0.418152,-0.071655,1.876336,-11.741525,-1.143428,-0.403858,-0.148625,-0.857966,0.280528,632.55,31.60,768.00,1
